id,title,overview,year,vote_average,vote_count,original_language,popularity,genres,genre_ids,poster_path
269149,Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",2016,7.752,17101,en,51.2993,"['Animation', 'Adventure', 'Family', 'Comedy']","[16, 12, 10751, 35]",/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg
297802,Aquaman,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.",2018,6.871,14584,en,28.6049,"['Action', 'Adventure', 'Fantasy']","[28, 12, 14]",/ufl63EFcc5XpByEV2Ecdw6WJZAI.jpg
1246049,Dracula,"When a 15th-century prince denounces God after the devastating loss of his wife, he inherits an eternal curse: he becomes Dracula. Condemned to wander the centuries, he defies fate and death itself, guided by a single hope — to be reunited with his lost love.",2025,7.072,439,fr,41.4858,"['Horror', 'Fantasy', 'Romance']","[27, 14, 10749]",/Ap4kyIiMGsCAI6IKrJejp6AAiTL.jpg
1156594,Our Fault,"Jenna and Lion's wedding brings about the long-awaited reunion between Noah and Nick after their breakup. Nick's inability to forgive Noah stands as an insurmountable barrier. He, heir to his grandfather's businesses, and she, starting her professional life, resist fueling a flame that's still alive. But now that their paths have crossed again, will love be stronger than resentment?",2025,7.497,521,es,44.5949,"['Romance', 'Drama']","[10749, 18]",/yzqHt4m1SeY9FbPrfZ0C2Hi9x1s.jpg
106,Predator,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,1987,7.54,8659,en,38.7263,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","[878, 28, 12, 53]",/k3mW4qfJo6SKqe6laRyNGnbB9n5.jpg
911430,F1,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,2025,7.805,2642,en,42.7418,"['Action', 'Drama']","[28, 18]",/vqBmyAj0Xm9LnS1xe1MSlMAJyHq.jpg
1087192,How to Train Your Dragon,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",2025,7.988,2202,en,38.6627,"['Fantasy', 'Family', 'Action', 'Adventure']","[14, 10751, 28, 12]",/q5pXRYTycaeW6dEgsCrd4mYPmxM.jpg
1210732,How to Make a Killing,"Michel and Cathy, wed for longer than they can remember, lead a quiet but monotonous life in the mountains. When a bear bursts out in front of Michel’s car, accidentally killing two drug dealers and revealing a €2 million loot in the process, their life takes an unpredictable turn, especially when they decide to cover up the incident and keep the money! But their plan leads them to stumble upon an unexplained trail of dead bodies. More used to being honest than crooked, Michel and Cathy’s clumsy cover-up efforts soon put an interfering inspector hot on their trail.",2025,6.5,213,fr,40.533,"['Comedy', 'Thriller']","[35, 53]",/oovadj4TsgCuAGfd5LhDP19ZCYD.jpg
24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012,7.858,34095,en,37.987,"['Science Fiction', 'Action', 'Adventure']","[878, 28, 12]",/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
1007734,Nobody 2,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",2025,7.058,984,en,37.4211,"['Action', 'Thriller']","[28, 53]",/xGLoqM9peusKQeuwlSw2Qlhx740.jpg
